Volatility 3 Framework 2.28.0
  |         Offset | Proto |                LocalAddr | LocalPort |    ForeignAddr | ForeignPort |       State |  PID |        Owner |                        Created
* | 0xd98df30584d0 | UDPv4 |            192.168.2.169 |     64751 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df30b21e0 | UDPv6 | fe80::9823:8c9:75b7:473b |     64749 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df33898e0 | TCPv4 |            192.168.2.169 |     50803 | 198.142.175.46 |          80 |      CLOSED | 5764 |  svchost.exe |                            N/A
* | 0xd98df33c2cc0 | TCPv4 |            192.168.2.169 |     50781 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3892950 | UDPv4 |                  0.0.0.0 |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:38:50.000000 UTC
* | 0xd98df3892950 | UDPv6 |                       :: |         0 |              * |           0 |             |  880 |      CCC.exe | 2018-06-21 06:38:50.000000 UTC
* | 0xd98df397d0a0 | UDPv4 |                  0.0.0.0 |      5353 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:00:36.000000 UTC
* | 0xd98df397d0a0 | UDPv6 |                       :: |      5353 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:00:36.000000 UTC
* | 0xd98df3982840 | TCPv4 |            192.168.2.169 |     50800 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3b324d0 | TCPv4 |            192.168.2.169 |     50780 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3b3d5e0 | TCPv4 |            192.168.2.169 |     50873 | 104.95.127.140 |         443 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3b8bcc0 | TCPv4 |            192.168.2.169 |     50865 | 198.142.175.30 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3c542d0 | UDPv4 |                  0.0.0.0 |     55125 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:31.000000 UTC
* | 0xd98df3cbaab0 | TCPv4 |            192.168.2.169 |     50820 |   67.27.57.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3cf8010 | TCPv4 |            192.168.2.169 |     50429 |   67.27.63.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3d28d30 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df3d28d30 | UDPv6 |                       :: |      3702 |              * |           0 |             | 3972 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df3d3d010 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df3d3d010 | UDPv6 |                       :: |      3702 |              * |           0 |             | 2980 |  dasHost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df3d572c0 | UDPv4 |                  0.0.0.0 |      3702 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df3d572c0 | UDPv6 |                       :: |      3702 |              * |           0 |             | 3888 |  svchost.exe | 2018-06-21 06:00:38.000000 UTC
* | 0xd98df3d8acc0 | TCPv4 |            192.168.2.169 |     50815 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3de7cc0 | TCPv4 |            192.168.2.169 |     50812 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df3efb640 | TCPv4 |            192.168.2.169 |     50777 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df40bd910 | UDPv4 |                  0.0.0.0 |      5355 |              * |           0 |             | 1940 |  svchost.exe | 2018-06-21 06:19:55.000000 UTC
* | 0xd98df4187cc0 | TCPv4 |            192.168.2.169 |     50792 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df42bd180 | TCPv4 |            192.168.2.169 |     50867 | 198.142.175.30 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df42d8660 | TCPv4 |            192.168.2.169 |     50793 | 198.142.175.46 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df43e2010 | TCPv4 |            192.168.2.169 |     50689 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df46472e0 | TCPv4 |            192.168.2.169 |     50779 | 198.142.175.14 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df46ccb50 | TCPv4 |            192.168.2.169 |     50802 |   67.27.59.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
* | 0xd98df4831d90 | UDPv4 |                127.0.0.1 |     64752 |              * |           0 |             | 3400 |  svchost.exe | 2018-06-21 06:00:33.000000 UTC
* | 0xd98df4890400 | TCPv4 |            192.168.2.169 |     50826 |   67.27.57.254 |          80 | ESTABLISHED | 5764 |  svchost.exe |                            N/A
