Volatility 3 Framework 2.28.0
  |  PID |       Process |      Start VPN |        End VPN |  Tag |             Protection | CommitCharge | PrivateMemory | File output | Notes |                                                          Hexdump |                                                  Disasm
* | 2688 |   MsMpEng.exe |  0x1ef80550000 |  0x1ef8065cfff | VadS | PAGE_EXECUTE_READWRITE |          269 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 56 57 53 55 41 54 41 55 48 83 ec 28 48 8b e9 48 VWSUATAUH..(H..H |                             0x1ef80550000:  push    rsi
  |      |               |                |                |      |                        |              |               |             |       | 8d b1 88 38 00 00 ff e2 48 83 c4 28 41 5d 41 5c ...8....H..(A]A\ |                             0x1ef80550001:  push    rdi
  |      |               |                |                |      |                        |              |               |             |       | 5d 5b 5f 5e c3 00 00 00 00 00 00 00 00 00 00 00 ][_^............ |                             0x1ef80550002:  push    rbx
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................ |                             0x1ef80550003:  push    rbp
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550004:  push    r12
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550006:  push    r13
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                       0x1ef80550008:  sub     rsp, 0x28
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                        0x1ef8055000c:  mov     rbp, rcx
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |             0x1ef8055000f:  lea     rsi, [rcx + 0x3888]
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550016:  jmp     rdx
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                       0x1ef80550018:  add     rsp, 0x28
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8055001c:  pop     r13
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8055001e:  pop     r12
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550020:  pop     rbp
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550021:  pop     rbx
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550022:  pop     rdi
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef80550023:  pop     rsi
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                                0x1ef80550024:  ret     
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef80550025:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef80550027:  add     byte ptr [rax], al
