Volatility 3 Framework 2.28.0
  |        Offset | Order |  PID |                Start |           State |                                                    Type |                                     Name |                                                                            Display |                                                                         Binary |                                                                                                Binary (Registry) |                                                                            Dll
* | 0x1d0da866040 |   309 |  488 | SERVICE_DEMAND_START | SERVICE_RUNNING |                             SERVICE_WIN32_SHARE_PROCESS |                               NgcCtnrSvc |                                                       Microsoft Passport Container |            C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p |                                            %SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p |                                           %SystemRoot%\System32\NgcCtnrSvc.dll
* | 0x1d0da866050 |   308 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                   netvsc |                                                                             netvsc |                                                                            N/A |                                                                          \SystemRoot\System32\drivers\netvsc.sys |                                                                              -
* | 0x1d0da865810 |   307 |  N/A |     SERVICE_DISABLED | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                        NetTcpPortSharing |                                                       Net.Tcp Port Sharing Service |                                                                            N/A |                                                  %systemroot%\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe |                                                                              -
* | 0x1d0da866b90 |   306 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                              NetSetupSvc |                                                              Network Setup Service |                                                                            N/A |                                                                  %SystemRoot%\System32\svchost.exe -k netsvcs -p |                                          %SystemRoot%\System32\NetSetupSvc.dll
* | 0x1d0da8667d0 |   305 | 1360 | SERVICE_DEMAND_START | SERVICE_RUNNING |                             SERVICE_WIN32_SHARE_PROCESS |                                 netprofm |                                                               Network List Service |                                 C:\Windows\System32\svchost.exe -k netprofm -p |                                                                 %SystemRoot%\System32\svchost.exe -k netprofm -p |                                          %SystemRoot%\System32\netprofmsvc.dll
* | 0x1d0da8665f0 |   304 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                                   Netman |                                                                Network Connections |                                                                            N/A |                                             %SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p |                                               %SystemRoot%\System32\netman.dll
* | 0x1d0da866d70 |   303 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                                 Netlogon |                                                                           Netlogon |                                                                            N/A |                                                                                  %systemroot%\system32\lsass.exe |                                             %SystemRoot%\system32\netlogon.dll
* | 0x1d0da866410 |   302 |  N/A | SERVICE_SYSTEM_START | SERVICE_RUNNING |                                   SERVICE_KERNEL_DRIVER |                                    NetBT |                                                                              NetBT |                                                                  \Driver\NetBT |                                                                                       System32\DRIVERS\netbt.sys |                                                                              -
* | 0x1d0da864190 |   301 |  N/A | SERVICE_SYSTEM_START | SERVICE_RUNNING |                              SERVICE_FILE_SYSTEM_DRIVER |                                  NetBIOS |                                                                  NetBIOS Interface |                                                            \FileSystem\NetBIOS |                                                                                     system32\drivers\netbios.sys |                                                                              -
* | 0x1d0da864e10 |   300 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                             NetAdapterCx |                                                                       NetAdapterCx |                                                                            N/A |                                                                                system32\drivers\NetAdapterCx.sys |                                                                              -
* | 0x1d0da8656d0 |   299 |  N/A |   SERVICE_AUTO_START | SERVICE_RUNNING |                                   SERVICE_KERNEL_DRIVER |                                      Ndu |                                       Windows Network Data Usage Monitoring Driver |                                                                    \Driver\Ndu |                                                                                         system32\drivers\Ndu.sys |                                                                              -
* | 0x1d0da864cd0 |   298 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                  ndproxy |                                                                            ndproxy |                                                                            N/A |                                                                                     System32\DRIVERS\NDProxy.sys |                                                                              -
* | 0x1d0da865bd0 |   297 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                  NDKPing |                                                                            NDKPing |                                                                            N/A |                                                                                     system32\drivers\NDKPing.sys |                                                                              -
* | 0x1d0da865590 |   296 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                  NDKPerf |                                                                            NDKPerf |                                                                            N/A |                                                                                     system32\drivers\NDKPerf.sys |                                                                              -
* | 0x1d0da864b90 |   295 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                            ndiswanlegacy |                                                                      ndiswanlegacy |                                                                            N/A |                                                                                     System32\DRIVERS\ndiswan.sys |                                                                              -
* | 0x1d0da865a90 |   294 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                  NdisWan |                                                                            NdisWan |                                                                            N/A |                                                                         \SystemRoot\System32\drivers\ndiswan.sys |                                                                              -
* | 0x1d0da864410 |   293 |  N/A | SERVICE_DEMAND_START | SERVICE_RUNNING |                                   SERVICE_KERNEL_DRIVER |                           NdisVirtualBus |                                       Microsoft Virtual Network Adapter Enumerator |                                                         \Driver\NdisVirtualBus |                                                                  \SystemRoot\System32\drivers\NdisVirtualBus.sys |                                                                              -
* | 0x1d0da864a50 |   292 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                  Ndisuio |                                                                            Ndisuio |                                                                            N/A |                                                                                     system32\drivers\ndisuio.sys |                                                                              -
* | 0x1d0da8651d0 |   291 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                 NdisTapi |                                                                           NdisTapi |                                                                            N/A |                                                                                    System32\DRIVERS\ndistapi.sys |                                                                              -
* | 0x1d0da865950 |   290 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                           NdisImPlatform |                                                                     NdisImPlatform |                                                                            N/A |                                                                              System32\drivers\NdisImPlatform.sys |                                                                              -
* | 0x1d0da864f50 |   289 |  N/A | SERVICE_SYSTEM_START | SERVICE_RUNNING |                                   SERVICE_KERNEL_DRIVER |                                  NdisCap |                                                             Microsoft NDIS Capture |                                                                \Driver\NdisCap |                                                                                     System32\drivers\ndiscap.sys |                                                                              -
* | 0x1d0da865450 |   288 |  N/A |   SERVICE_BOOT_START | SERVICE_RUNNING |                                   SERVICE_KERNEL_DRIVER |                                     NDIS |                                                                 NDIS System Driver |                                                                   \Driver\NDIS |                                                                                        system32\drivers\ndis.sys |                                                                              -
* | 0x1d0da865090 |   287 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                   ndfltr |                                                                             ndfltr |                                                                            N/A |                                                                          \SystemRoot\System32\drivers\ndfltr.sys |                                                                              -
* | 0x1d0da865310 |   286 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                             NcdAutoSetup |                                               Network Connected Devices Auto-Setup |                                                                            N/A |                                                    %SystemRoot%\System32\svchost.exe -k LocalServiceNoNetwork -p |                                         %SystemRoot%\System32\NcdAutoSetup.dll
* | 0x1d0da867c70 |   285 | 1180 | SERVICE_DEMAND_START | SERVICE_RUNNING |                             SERVICE_WIN32_SHARE_PROCESS |                               NcbService |                                                          Network Connection Broker |             C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p |                                             %SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p |                                           %SystemRoot%\System32\ncbservice.dll
* | 0x1d0da866230 |   284 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                                   NcaSvc |                                                     Network Connectivity Assistant |                                                                            N/A |                                                                  %SystemRoot%\System32\svchost.exe -k NetSvcs -p |                                               %SystemRoot%\System32\ncasvc.dll
* | 0x1d0da866f50 |   283 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                             SERVICE_WIN32_SHARE_PROCESS |                    NaturalAuthentication |                                                             Natural Authentication |                                                                            N/A |                                                                  %SystemRoot%\system32\svchost.exe -k netsvcs -p |                                          %SystemRoot%\System32\NaturalAuth.dll
* | 0x1d0da867310 |   282 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                              NativeWifiP |                                                                        NativeWifiP |                                                                            N/A |                                                                                       system32\DRIVERS\nwifi.sys |                                                                              -
* | 0x1d0da864910 |   281 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                   mvumis |                                                                             mvumis |                                                                            N/A |                                                                                      System32\drivers\mvumis.sys |                                                                              -
* | 0x1d0da864690 |   280 |  N/A |   SERVICE_BOOT_START | SERVICE_RUNNING |                              SERVICE_FILE_SYSTEM_DRIVER |                                      Mup |                                                                                Mup |                                                                \FileSystem\Mup |                                                                                         System32\Drivers\mup.sys |                                                                              -
* | 0x1d0da8642d0 |   279 |  N/A | SERVICE_DEMAND_START | SERVICE_STOPPED |                                   SERVICE_KERNEL_DRIVER |                                 MTConfig |                                                                           MTConfig |                                                                            N/A |                                                                        \SystemRoot\System32\drivers\MTConfig.sys |                                                                              -
