Volatility 3 Framework 2.28.0
  |         Offset |               DueTime | Period(ms) | Signaled |        Routine |    Module |                               Symbol
* | 0xde8ce9683500 | 0x00000002:0x5311b278 |          0 |        - | 0xf8002c5c1520 |        CI |                                    -
* | 0xde8ceaf6c710 | 0x00000002:0xcf79de41 |          0 |        - | 0xf8002f991720 |     rdbss |                                    -
* | 0xde8ce59b2310 | 0x00000002:0xff1fbf8f |          0 |        - | 0xf80026f4d380 |    FLTMGR |                                    -
* | 0xf8002ce6a5c0 | 0x000000cc:0xcb2077e1 |          0 |        - | 0xf8002cdf3460 |  storport |                                    -
* | 0xf8002ce6a580 | 0x000000cc:0xcb2077e1 |          0 |        - | 0xf8002cdf3460 |  storport |                                    -
* | 0xf8002a401a60 | 0x00000003:0xcd58da06 |          0 |        - | 0xf80029b495a0 |  ntoskrnl |               CmpLazyFlushDpcRoutine
* | 0xde8ceabecdb0 | 0x00000002:0x41ffa191 |          0 |        - | 0xf800321e7e60 |   dxgmms2 |                                    -
* | 0xde8ceb517570 | 0x00000002:0x42628797 |          0 |      Yes | 0xf800321e7e60 |   dxgmms2 |                                    -
* | 0xf8002d7b5480 | 0x00000008:0x6210b340 |          0 |        - | 0xf8002d6146f0 |     tcpip |                                    -
* | 0xde8ce7e8ab10 | 0x0001adb1:0x15c90966 |          0 |        - | 0xf80029bb1200 |  ntoskrnl |           PopFxIdleTimeoutDpcRoutine
* | 0xf8002fa7b260 | 0x00000004:0x320840a3 |          0 |        - | 0xf8002fa71170 |      dfsc |                                    -
* | 0xf8002a533a60 | 0x0056d614:0x289f4c67 |          0 |        - | 0xf80029b74b70 |  ntoskrnl |                 ExpCenturyDpcRoutine
* | 0xf8002a423a00 | 0x00000002:0x4654992b |          0 |        - | 0xf80029b471d0 |  ntoskrnl |       PopFxResidentTimeoutDpcRoutine
* | 0xde8ce73ff4a0 | 0x00000002:0x4201b0d4 |       1000 |      Yes | 0xf8002d3edda0 |      ndis |                                    -
