20.87.219.227   nginx   443     MEDIUM
105.30.26.24    AS-B 24 47808   HIGH
197.155.3.41    Siemens S7-300  161     HIGH
159.138.172.99  OpenSSH 22      MEDIUM
105.30.48.52    AS-B 24 47808   HIGH
139.84.240.240  Modicon M340    502     HIGH
139.84.231.98   Siemens S7-300  161     HIGH
156.38.245.50   HikCentral Professional 47808   HIGH
41.202.43.99    Apache httpd    443     MEDIUM
41.144.159.223  V350-35-T2      20256   HIGH
102.214.233.8   V700-T20BJ      20256   HIGH
196.21.109.6    Siemens S7-300  161     HIGH
154.66.114.27   HikCentral Professional 47808   HIGH
41.79.92.10     HikCentral Professional 47808   HIGH
102.129.165.36  OpenSSH 22      MEDIUM
102.130.49.194  OpenSSH 22      MEDIUM
196.41.28.106   DSC_1616E       47808   HIGH
41.185.26.191   OpenSSH 22      MEDIUM
196.41.122.205  Siemens S7-300  161     HIGH
102.223.98.227  DSC_1616E       47808   HIGH
102.67.158.24   HikCentral Professional 47808   HIGH
102.134.5.62    HikCentral Professional 47808   HIGH
196.25.93.34    HikCentral Professional 47808   HIGH
165.165.159.249 HikCentral Professional 47808   HIGH
154.70.235.5    HikCentral Professional 47808   HIGH
41.72.131.250   HikCentral Professional 47808   HIGH
196.251.63.117  NiagaraAX Station       47808   HIGH
13.245.167.202  nginx   443     MEDIUM
102.209.117.199 Siemens S7-300  161     HIGH
34.35.165.168   Siemens S7-300  161     HIGH
102.64.22.58    DSC_1616E       47808   HIGH
139.84.226.222  Siemens S7-300  161     HIGH
102.218.213.237 HikCentral Professional 47808   HIGH
102.141.75.202  V700-T20BJ      20256   HIGH
154.73.190.165  HikCentral Professional 47808   HIGH
102.37.140.133  OpenSSH 22      MEDIUM
159.138.169.48  BMX P34 2020    502     HIGH
139.84.244.150  Siemens S7-300  161     HIGH
197.255.242.198 HikCentral Professional 47808   HIGH
102.37.18.234   Siemens S7-300  161     HIGH
102.222.20.201  Apache httpd    80      MEDIUM
41.222.121.197  Siemens S7-300  161     HIGH
155.93.218.15   MQTT    1883    HIGH

