Volatility 3 Framework 2.28.0

PID	Process	Base	Size	Name	Path	LoadCount	LoadTime	File output

356	smss.exe	0x7ff6abfc0000	0x25000	smss.exe	\SystemRoot\System32\smss.exe	-1	2018-06-08 00:11:40.000000 UTC	Disabled
356	smss.exe	0x7ff9a98f0000	0x1db000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-06-08 00:11:40.000000 UTC	Disabled
468	csrss.exe	0x7ff655c90000	0x7000	csrss.exe	C:\WINDOWS\system32\csrss.exe	-1	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a98f0000	0x1db000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5d40000	0x17000	CSRSRV.dll	C:\WINDOWS\SYSTEM32\CSRSRV.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5d20000	0x14000	basesrv.DLL	C:\WINDOWS\system32\basesrv.DLL	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5d00000	0x16000	winsrv.DLL	C:\WINDOWS\system32\winsrv.DLL	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5e10000	0x249000	kernelbase.dll	C:\WINDOWS\System32\kernelbase.dll	-1	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a78c0000	0xae000	kernel32.dll	C:\WINDOWS\System32\kernel32.dll	-1	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5ce0000	0x1f000	winsrvext.dll	C:\WINDOWS\SYSTEM32\winsrvext.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a7130000	0x14a000	USER32.dll	C:\WINDOWS\System32\USER32.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a6160000	0x1e000	win32u.dll	C:\WINDOWS\System32\win32u.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a8dc0000	0x27000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a6bc0000	0x187000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a6060000	0x9a000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a6d50000	0xf6000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a9130000	0x2f9000	combase.dll	C:\WINDOWS\System32\combase.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a6e70000	0x125000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a6400000	0x6a000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2018-06-08 00:12:23.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5cd0000	0xd000	sxssrv.DLL	C:\WINDOWS\system32\sxssrv.DLL	6	2018-06-08 00:12:24.000000 UTC	Disabled
468	csrss.exe	0x7ff9a5b90000	0x9a000	sxs.dll	C:\WINDOWS\system32\sxs.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
468	csrss.exe	0x7ff9a9070000	0x59000	sechost.dll	C:\WINDOWS\System32\sechost.dll	6	2018-06-08 00:26:24.000000 UTC	Disabled
568	wininit.exe	0x7ff6fe140000	0x4f000	wininit.exe	C:\WINDOWS\system32\wininit.exe	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a98f0000	0x1db000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a78c0000	0xae000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5e10000	0x249000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a6d50000	0xf6000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a6e70000	0x125000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a9070000	0x59000	sechost.dll	C:\WINDOWS\System32\sechost.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5dd0000	0x15000	profapi.dll	C:\WINDOWS\System32\profapi.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5cc0000	0xd000	wininitext.dll	C:\WINDOWS\SYSTEM32\wininitext.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a7090000	0x9d000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a9600000	0xa1000	ADVAPI32.dll	C:\WINDOWS\System32\ADVAPI32.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a7130000	0x14a000	USER32.dll	C:\WINDOWS\System32\USER32.dll	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a6160000	0x1e000	win32u.dll	C:\WINDOWS\System32\win32u.dll	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a8dc0000	0x27000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a6bc0000	0x187000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a6060000	0x9a000	msvcp_win.dll	C:\WINDOWS\System32\msvcp_win.dll	-1	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5c90000	0x30000	SspiCli.dll	C:\WINDOWS\system32\SspiCli.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5c60000	0x29000	USERENV.dll	C:\WINDOWS\system32\USERENV.dll	6	2018-06-08 00:12:24.000000 UTC	Disabled
568	wininit.exe	0x7ff9a4fb0000	0x21000	profext.dll	C:\WINDOWS\SYSTEM32\profext.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a9130000	0x2f9000	combase.dll	C:\WINDOWS\System32\combase.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a6400000	0x6a000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a4f70000	0x31000	ntmarta.dll	C:\WINDOWS\SYSTEM32\ntmarta.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5c30000	0x25000	Bcrypt.dll	C:\WINDOWS\system32\Bcrypt.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a4c90000	0x88000	firewallapi.dll	C:\WINDOWS\SYSTEM32\firewallapi.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a4c30000	0x2b000	fwbase.dll	C:\WINDOWS\system32\fwbase.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
568	wininit.exe	0x7ff9a7020000	0x6c000	WS2_32.dll	C:\WINDOWS\System32\WS2_32.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
568	wininit.exe	0x7ff9a5610000	0x5c000	mswsock.dll	C:\WINDOWS\system32\mswsock.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
568	wininit.exe	0x3d011430b6ce	0xdecc5d40	-	-	2855	-	Disabled
716	services.exe	0x7ff7164d0000	0x83000	services.exe	C:\WINDOWS\system32\services.exe	-1	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a98f0000	0x1db000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a78c0000	0xae000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a5e10000	0x249000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a6e70000	0x125000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a9070000	0x59000	sechost.dll	C:\WINDOWS\System32\sechost.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a5b70000	0x18000	EventAggregation.dll	C:\WINDOWS\SYSTEM32\EventAggregation.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a6d50000	0xf6000	ucrtbase.dll	C:\WINDOWS\System32\ucrtbase.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a5080000	0x80000	scesrv.dll	C:\WINDOWS\SYSTEM32\scesrv.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a7090000	0x9d000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a5c90000	0x30000	sspicli.dll	C:\WINDOWS\system32\sspicli.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a5030000	0x48000	AUTHZ.dll	C:\WINDOWS\system32\AUTHZ.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a6400000	0x6a000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a5dd0000	0x15000	profapi.dll	C:\WINDOWS\System32\profapi.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
716	services.exe	0x7ff9a44a0000	0x1d000	rmclient.dll	C:\WINDOWS\SYSTEM32\rmclient.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
716	services.exe	0x7ff9a9130000	0x2f9000	combase.dll	C:\WINDOWS\System32\combase.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
716	services.exe	0x7ff9a9600000	0xa1000	advapi32.dll	C:\WINDOWS\System32\advapi32.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
716	services.exe	0x7ff9a4490000	0x8000	DABAPI.dll	C:\WINDOWS\SYSTEM32\DABAPI.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
716	services.exe	0x7ff9a5db0000	0x11000	kernel.appcore.dll	C:\WINDOWS\System32\kernel.appcore.dll	6	2018-06-08 00:12:26.000000 UTC	Disabled
716	services.exe	0x7ff9a4410000	0x7e000	apphelp.dll	C:\WINDOWS\system32\apphelp.dll	-1	2018-06-08 00:12:27.000000 UTC	Disabled
716	services.exe	0x7ff99ef40000	0x1c000	spinf.dll	C:\WINDOWS\SYSTEM32\spinf.dll	6	2018-06-08 00:12:32.000000 UTC	Disabled
716	services.exe	0x7ff9a7020000	0x6c000	WS2_32.dll	C:\WINDOWS\System32\WS2_32.dll	6	2018-06-08 00:12:37.000000 UTC	Disabled
716	services.exe	0x7ff9a5610000	0x5c000	mswsock.dll	C:\WINDOWS\system32\mswsock.dll	6	2018-06-08 00:12:37.000000 UTC	Disabled
716	services.exe	0x7ff99b650000	0x26000	srvcli.dll	C:\WINDOWS\SYSTEM32\srvcli.dll	6	2018-06-08 00:12:38.000000 UTC	Disabled
716	services.exe	0x7ff9a1a80000	0x15000	usermgrcli.dll	C:\WINDOWS\SYSTEM32\usermgrcli.dll	6	2018-06-08 00:14:26.000000 UTC	Disabled
744	lsass.exe	0x7ff628030000	0x11000	lsass.exe	C:\WINDOWS\system32\lsass.exe	-1	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a98f0000	0x1db000	ntdll.dll	C:\WINDOWS\SYSTEM32\ntdll.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a78c0000	0xae000	KERNEL32.DLL	C:\WINDOWS\System32\KERNEL32.DLL	-1	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a5e10000	0x249000	KERNELBASE.dll	C:\WINDOWS\System32\KERNELBASE.dll	-1	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a6e70000	0x125000	RPCRT4.dll	C:\WINDOWS\System32\RPCRT4.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a5a00000	0x16e000	lsasrv.dll	C:\WINDOWS\system32\lsasrv.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a7090000	0x9d000	msvcrt.dll	C:\WINDOWS\System32\msvcrt.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a7020000	0x6c000	WS2_32.dll	C:\WINDOWS\System32\WS2_32.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a9070000	0x59000	sechost.dll	C:\WINDOWS\System32\sechost.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
744	lsass.exe	0x7ff9a5c90000	0x30000	SspiCli.dll	C:\WINDOWS\system32\SspiCli.dll	6	2018-06-08 00:12:25.000000 UTC	Disabled
