Volatility 3 Framework 2.28.0
  |                Last Write Time |    Hive Offset |      Type |                                                                                                                                                                           Key |                                                                          Name |                                               Data | Volatile
* | 2022-07-18 23:25:47.000000 UTC | 0xaa8bbe69a000 |       Key |                                                                                                                                                                      [NONAME] |                                                                             A |                                                N/A |    False
* | 2022-07-18 23:20:19.000000 UTC | 0xaa8bbe69a000 |       Key |                                                                                                                                                                      [NONAME] |                                                                       MACHINE |                                                N/A |    False
* | 2022-07-18 23:10:00.000000 UTC | 0xaa8bbe69a000 |       Key |                                                                                                                                                                      [NONAME] |                                                                          USER |                                                N/A |    False
* | 2022-07-18 23:25:43.000000 UTC | 0xaa8bbe69a000 |       Key |                                                                                                                                                                      [NONAME] |                                                                            WC |                                                N/A |    False
* | 2021-06-05 12:11:06.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                              ActivationBroker |                                                N/A |    False
* | 2022-07-18 23:09:16.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                 ControlSet001 |                                                N/A |    False
* | 2022-07-18 06:49:10.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                DriverDatabase |                                                N/A |    False
* | 2022-07-18 23:09:53.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                HardwareConfig |                                                N/A |    False
* | 2021-06-05 12:11:04.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                         Input |                                                N/A |    False
* | 2021-06-05 13:09:25.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                               Keyboard Layout |                                                N/A |    False
* | 2021-06-05 12:11:04.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                          Maps |                                                N/A |    False
* | 2022-07-18 23:11:43.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                MountedDevices |                                                N/A |    False
* | 2022-07-18 23:09:53.000000 UTC | 0xaa8bbe675000 |       Key |                                                                                                                                                      \REGISTRY\MACHINE\SYSTEM |                                                                           RNG |                                                N/A |    False
