Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xde8ce58c4040	152	-	N/A	False	2022-07-18 23:09:54.000000 UTC	N/A	-	-	-
* 376	4	smss.exe	0xde8ce78bc040	2	-	N/A	False	2022-07-18 23:09:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 124	4	Registry	0xde8ce592e080	4	-	N/A	False	2022-07-18 23:09:53.000000 UTC	N/A	Registry	-	-
* 1604	4	MemCompression	0xde8ce5973040	26	-	N/A	False	2022-07-18 23:09:59.000000 UTC	N/A	MemCompression	-	-
588	560	csrss.exe	0xde8ce9dc8140	13	-	1	False	2022-07-18 23:09:59.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
668	560	winlogon.exe	0xde8ceaa17080	3	-	1	False	2022-07-18 23:09:59.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\winlogon.exe	winlogon.exe	C:\Windows\system32\winlogon.exe
* 892	668	fontdrvhost.ex	0xde8ceaab2140	5	-	1	False	2022-07-18 23:09:59.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\Windows\system32\fontdrvhost.exe
* 484	668	LogonUI.exe	0xde8ceaba70c0	0	-	1	False	2022-07-18 23:09:59.000000 UTC	2022-07-18 23:11:56.000000 UTC	\Device\HarddiskVolume3\Windows\System32\LogonUI.exe	-	-
** 496	484	csrss.exe	0xde8ce9c6d140	10	-	0	False	2022-07-18 23:09:59.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
