Volatility 3 Framework 2.28.0

Offset(Virtual)	Name	PID	pslist	psscan	thrdscan	csrss	Exit Time

0xd98df4e56600	smss.exe	356	True	True	True	False	
0xd98df665a600	svchost.exe	844	True	True	True	True	
0xd98df6594600	svchost.exe	920	True	True	True	True	
0xd98df6590600	fontdrvhost.ex	944	True	True	True	True	
0xd98df6f24600	svchost.exe	3400	True	True	True	True	
0xd98df5244600	svchost.exe	5648	True	True	True	True	
0xd98df7406600	svchost.exe	4264	True	True	True	True	
0xd98df5ca4600	SearchIndexer.	5380	True	True	True	True	
0xd98df6867600	svchost.exe	1532	True	True	True	True	
0xd98df6887600	svchost.exe	1548	True	True	True	True	
0xd98df6263080	dwm.exe	6976	True	True	True	True	
0xd98df5f67080	MOM.exe	4444	True	True	True	True	
0xd98df99f7080	conhost.exe	9324	True	True	True	True	
0xd98df4eb8200	chrome.exe	5180	False	True	False	False	2018-06-21 06:45:58+00:00
0xd98df5f48600	audiodg.exe	4596	True	True	True	True	
0xd98df4229600	ShellExperienc	7004	True	True	True	True	
0xd98dfa3a9600	conhost.exe	2628	False	True	False	False	2018-06-21 06:45:51+00:00
0xd98df958a600	conhost.exe	8648	True	True	True	True	
0xd98df3c4c600	winlogon.exe	3376	True	True	True	True	
0xd98df6b08600	svchost.exe	2424	True	True	True	True	
0xd98df6c0c600	svchost.exe	2772	True	True	True	True	
0xd98df658c600	svchost.exe	72	True	True	True	True	
0xd98df674c600	svchost.exe	1056	True	True	True	True	
0xd98df6774600	svchost.exe	1140	True	True	True	True	
0xd98df67cc600	svchost.exe	1316	True	True	True	True	
0xd98df67e0600	svchost.exe	1368	True	True	True	True	
0xd98df6838600	svchost.exe	1436	True	True	True	True	
0xd98df6c10600	svchost.exe	2780	True	True	True	True	
0xd98df6894600	svchost.exe	1568	True	True	True	True	
0xd98df9992600	InstallAgentUs	7876	True	True	True	True	
0xd98df6d1e040	MemCompression	3052	True	True	True	False	
0xd98df86c7240	RuntimeBroker.	7220	True	True	True	True	
0xd98df3b97240	OSForensics.ex	5352	False	True	False	False	2018-06-21 06:49:21+00:00
0xd98df6492600	UpdateAssistan	6220	False	True	False	False	2018-06-21 06:45:52+00:00
0xd98df80ec080	conhost.exe	2120	True	True	True	True	
0xd98df97b9600	SearchUI.exe	5368	True	True	True	True	
0xd98df713d600	svchost.exe	3880	True	True	True	True	
0xf8021f43d600	CompatTelRunne	3672	False	True	False	False	
0xd98df6dff600	svchost.exe	3288	True	True	True	True	
0xd98df53e0600	mscorsvw.exe	2908	False	True	True	False	2018-06-21 06:52:09+00:00
0xd98df657c080	wininit.exe	568	True	True	True	True	
0xd98df60ef080	csrss.exe	468	True	True	True	False	
0xd98df65e0080	services.exe	716	True	True	True	True	
0xd98df65d7080	lsass.exe	744	True	True	True	True	
0xd98df666c480	svchost.exe	868	True	True	True	True	
0xd98df67d5080	atiesrxx.exe	1288	True	True	True	True	
0xd98df73ac080	svchost.exe	4108	True	True	True	True	
0xd98df74fc080	svchost.exe	4504	True	True	True	True	
0xd98df5caa080	svchost.exe	5764	True	True	True	True	
0xd98df3827080	svchost.exe	7812	True	True	True	True	
0xd98df7ba4080	smss.exe	6920	True	True	False	False	2018-06-08 00:26:24+00:00
0xd98df67a0080	fontdrvhost.ex	2932	True	True	True	True	
0xd98df3af8080	SynTPEnh.exe	2388	True	True	True	False	2018-06-21 06:35:56+00:00
0xd98df42b0080	svchost.exe	3540	True	True	True	True	
0xd98df8760080	SkypeHost.exe	9788	True	True	True	True	
0xd98df6426600	svchost.exe	9200	True	True	True	True	
0xd98df5c59200	svchost.exe	7496	True	True	True	True	
0xd98df9a87600	UpdateAssistan	1980	False	True	False	False	2018-06-21 06:46:11+00:00
0xd98df8be8600	CCC.exe	880	True	True	True	True	
0xd98df47fd400	OneDrive.exe	4428	True	True	True	True	
0xd98df8584480	taskhostw.exe	7252	True	True	True	True	
0xd98df68c9600	svchost.exe	1652	True	True	True	True	
0xd98df6949600	svchost.exe	1872	True	True	True	True	
0xd98df5ce9600	svchost.exe	2988	True	True	True	True	
0xd98df6bed600	svchost.exe	2704	True	True	True	True	
0xd98df53cd600	GoogleCrashHan	5932	True	True	True	True	
